
ID,Artista,Tag1,Tag2,Tag3,Tag4,Tag5,Tag6,Tag7,Tag8,Tag9,Tag10
264,Wolf Parade,indie,canadian,indie rock,seen live,alternative,2010,lastfm,songs ive obsessed over,rock,not-emo
265,Klaxons,indie,new rave,indie rock,british,electronic,alternative rock,alternative,electro,new wave,experimental
266,Broken Social Scene,indie,indie rock,alternative,canadian,post-rock,ambient,seen live,rock,instrumental,indie pop
267,Spoon,alternative,indie,rock,seen live,indie rock,canadian,indie pop,80s,alternative rock,american
268,The Smashing Pumpkins,alternative rock,rock,alternative,grunge,90s,indie rock,awesome,indie,smashing pumpkins,shoegaze
269,She & Him,indie,folk,singer-songwriter,indie pop,female vocalists,love at first listen,fun,alternative,00s,mellow
270,O Teatro Mágico,brazilian,mpb,brasil,folk,alternative,brazil,brilliant,genius,perfect,thalita
271,Los Hermanos,brazilian,mpb,rock,indie,alternative rock,brasil,alternative,seen live,rio de janeiro,indie rock
272,Animal Collective,experimental,indie,folk,indie rock,seen live,new weird america,avant-garde,freak folk,noise,psychedelic pop
273,Joy Division,post-punk,new wave,80s,alternative,british,indie,rock,alternative rock,post punk,gothic rock
274,The Tallest Man on Earth,folk,acoustic,indie folk,alternative,americana,bedroom pop,blues,freak folk,indie,lesser known yet streamable artists
275,The Rakes,indie,british,indie rock,alternative rock,indie pop,alternative,bass,dance,fun,indie luv
276,múm,post-rock,ambient,icelandic,electronic,experimental,electronica,idm,beautiful,alternative,straight up modern rock
277,Bon Iver,folk,acoustic,indie,singer-songwriter,rip out my fucking heart why dont you,mellow,lo-fi,indie rock,indie pop,indie folk
278,Manu Chao,alternative,latin,reggae,french,folk,seen live,title is a full sentence,tinosoft,this world go crazy,summer
279,She Wants Revenge,indie,alternative,post-punk,darkwave,indie rock,new wave,covers,seen live,alternative rock,complete sentences
280,Silverchair,grunge,rock,alternative,alternative rock,90s,australian rock,awesome-ness,temporal,romantic,australian
281,Jónsi,indie,ambient,experimental,icelandic,beautiful,dreamy,post-rock,alternative,indie rock,singer-songwriter
282,Backstreet Boys,pop,90s,seen live,male vocalists,boybands,boyband,love,bsb,backstreet boys,nick carter
283,Jesse McCartney,pop,male vocalists,pop rock,jesse mccartney,american,male vocalist,cute,disney,rnb,addictive
284,Aaron Carter,90s,dance,male vocalists,pop,aaron carter,disney,male vocalist,pop covers,rafa,teen pop
285,Justin Bieber,pop,rnb,hip-hop,<3,love at first listen,gay,dance,addictive,love,rap
286,*NSYNC,90s,pop,dance,boybands,90's,hooooooooot,teen pop,seen live,rnb,pop covers
287,Miley Cyrus,pop,female vocalists,dance,disney,pop rock,miley cyrus,<3,guilty pleasure,amazing,catchy
288,Blue,pop,british,dance,rnb,boybands,party,male,melancholic,melancholy,none
289,Savage Garden,pop,90s,rock,alternative,love songs,pop rock,male vocalists,ballad,australian,favourites
290,3OH!3,electronic,pop,electronica,dance,hip-hop,male vocalists,fun,catchy,rap,electropop
291,Jessica Simpson,pop,dance,female vocalists,country,female vocalist,female,ballad,jessica simpson,teen pop,beautiful
292,Ke$ha,pop,dance,electronic,electropop,female vocalists,party,love at first listen,2010,<3,love
293,Darren Hayes,pop,male vocalists,australian,dance,electronica,electronic,singer-songwriter,00's,pop singles,mellow
294,Usher,rnb,soul,hip-hop,dance,hip hop,rap,pop,usher,male vocalists,sexy
295,Nick Carter,nick carter,pop,american music,backstreet boys,carter,forever in heart,male,male artist,max martin,pop rock
296,nevershoutnever!,indie,acoustic,powerpop,pop,cute,male vocalists,indie pop,<3,life unexpected,punk goes
297,Metro Station,electronic,powerpop,dance,electronica,indie,pop,pop punk,metro,metro station,new music
298,3 Doors Down,rock,alternative rock,alternative,hard rock,romantic,pop rock,love,post-grunge,male vocalists,00s
299,Craig David,rnb,soul,pop,sexy,male vocalists,english,dance,00s,british,singer-songwriter
300,Eminem,rap,hip-hop,hip hop,eminem,pop,slim shady,sexy,male vocalists,american,soundtrack
301,M. Pokora,rnb,pop,french,hip-hop,male vocalists,popstars,sexy,dance,f4nt4stic,hot
302,Westlife,pop,westlife,boysband,irish,boybands,boyband,cover version,gay,great covers,hooooooooot
303,Simple Plan,punk rock,rock,pop punk,punk,emo,<3,alternative rock,alternative,male vocalists,favorites
304,Ne-Yo,rnb,pop,hip-hop,soul,dance,male vocalists,hip hop,sexy,romantic,rap
305,Kelis,rnb,hip-hop,dance,pop,female vocalists,electronic,soul,rap,singer-songwriter,sexy
306,30 Seconds to Mars,rock,alternative rock,alternative,emo,indie,male vocalists,30 seconds to mars,seen live,progressive rock,awesome
307,The Birthday Massacre,industrial,gothic,female vocalists,electronic,synth-rock,rock,alternative,the speed of awesome,synthrock,synthpop
308,Three Days Grace,alternative rock,rock,alternative,hard rock,metal,canadian,three days grace,alternative metal,post-grunge,male vocalists
309,Limp Bizkit,nu metal,alternative,rock,metal,rapcore,cover,acoustic,alternative rock,american,ballad
310,Seether,alternative rock,hard rock,rock,grunge,alternative,post-grunge,00s,sad,metal,melancholic
311,Fort Minor,hip-hop,rap,alternative,american,hip hop,rock,fort minor,male vocalists,00s,alternative hip-hop
312,Funeral for a Friend,screamo,emo,post-hardcore,emocore,rock,seen live,alternative rock,alternative,post hardcore,precious
313,Lostprophets,alternative,rock,alternative rock,emo,metal,seen live,00s,i love this song,specials to 3mmey,not emo
314,Finch,emo,screamo,alternative,post-hardcore,amazing,hardcore,hoy tengo ganas de llorar,i love this song,idolo,rock
315,Cold,alternative,alternative rock,rock,hard rock,metal,00s,american,awesome,beautiful,favorite
316,Papa Roach,nu metal,alternative,rock,alternative rock,metal,00s,seen live,hard rock,<3,romantic
317,Paramore,rock,female vocalists,alternative,pop punk,emo,alternative rock,pop rock,paramore,indie,punk
318,Flyleaf,alternative rock,rock,female vocalists,alternative,hard rock,christian rock,american,metal,love,sellaband
319,Bullet for My Valentine,metalcore,metal,emo,hardcore,screamo,emocore,heavy metal,seen live,hard rock,acoustic
320,Angels & Airwaves,alternative rock,alternative,punk rock,rock,indie,pop punk,punk,pop rock,space rock,romantic
321,In Flames,melodic death metal,death metal,metal,swedish metal,swedish,heavy metal,metalcore,alternative metal,acoustic,the fucking best
322,HIM,rock,gothic rock,metal,love metal,finnish,alternative,gothic metal,gothic,hard rock,cover
323,Anathema,doom metal,progressive metal,atmospheric,progressive rock,metal,melancholic,acoustic,instrumental,sad,psychedelic rock
324,Saosin,post-hardcore,emo,emocore,screamo,hardcore,alternative rock,mine,songs i never get sick of,songs i absolutely love,skream out loud
325,P.O.D.,nu metal,alternative,metal,alternative rock,rock,rapcore,christian,nu-metal,alternative metal,hard rock
326,U2,rock,classic rock,alternative,80s,90s,pop,u2,irish,seen live,alternative rock
327,Deftones,metal,nu metal,alternative,alternative rock,alternative metal,rock,deftones,90s,00s,nu-metal
328,Ill Niño,nu metal,metal,metalcore,rock,nu-metal,00s,alternative metal,american,favorite,seen live
329,Clan of Xymox,darkwave,gothic rock,gothic,electronic,80s,industrial,ebm,favorite songs,melancholic,post-punk
330,Korn,nu metal,metal,alternative,rock,alternative metal,nu-metal,hard rock,90s,seen live,prejebeno
331,Within Temptation,symphonic metal,gothic metal,metal,gothic,female fronted metal,female vocalists,rock,gothic rock,female vocalist,cover
332,Static-X,industrial metal,nu metal,industrial,metal,alternative,static-x,nu-metal,00s,soundtrack,screamo
333,Fluke,electronica,electronic,dance,techno,hypnotic,trance,scifi,pop,instrumental,idm
334,Lacrimosa,gothic metal,gothic,symphonic metal,abyss,bazarov,darkwave,favorites,german,nostalgic,seen live
335,Lindsay Lohan,pop,dance,pop rock,female vocalists,female vocalist,disney,rock,female,<3,guilty pleasure
336,Jeffree Star,electronic,dance,electro,electronica,glam,techno,00s,pop,the most beautiful fag in this world,scene
337,Gwen Stefani,pop,dance,female vocalists,rock,pop rock,alternative,female vocalist,female,sexy,00s
338,La Roux,dance,electronic,electropop,synthpop,female vocalists,indietronica,indie,pop,british,seen live
339,Lil' Wayne,rap,hip-hop,hip hop,assertive,nice beat,pop,real hip-hop,real talk,rick ghraphixxx,rnb
340,Pixie Lott,pop,female vocalists,dance,british,love at first listen,love,female vocalist,ballad,electronic,redone
341,Paul van Dyk,trance,dance,electronic,techno,progressive trance,vocal trance,electronica,progressive house,sexiest man in the world,rock
342,Alphabeat,pop,dance,indie pop,00s,rock,80s,electropop,awesome,happy,indie
343,Taio Cruz,rnb,dance,pop,hip-hop,00s,united kingdom,soul,sexy,male vocalists,male
344,Little Boots,dance,electronic,pop,female vocalists,electropop,british,disco,synthpop,alternative,electro
345,Oasis,britpop,rock,alternative,british,indie,alternative rock,90s,indie rock,love,uk
346,No Doubt,pop,alternative,rock,90s,female vocalists,alternative rock,pop rock,ska,punk,new wave
347,Sophie Ellis-Bextor,dance,pop,british,female vocalists,electronic,britpop,disco,electronica,uk,sexy
348,Good Charlotte,punk rock,rock,pop punk,punk,alternative,male vocalists,alternative rock,pop rock,good charlotte,catchy
349,The Used,rock,screamo,emo,alternative,punk,alternative rock,post-hardcore,best bands,00s,not emo
350,Maroon 5,pop,rock,pop rock,alternative rock,alternative,male vocalists,american,dance,indie,seen live
351,Gossip,indie,female vocalists,indie rock,frauen und technik,seen live,rock,riot grrl,powerful,oui fm,mstrkrft
352,Fall Out Boy,pop punk,rock,alternative,punk rock,emo,punk,alternative rock,pop,fall out boy,indie
353,Pitty,rock,female vocalists,alternative rock,brazilian,pop rock,pitty,brazilian rock,punk,alternative,perfect
354,Nicole Scherzinger,pop,rnb,female vocalists,sexy,dance,hip-hop,female,american,nicole scherzinger,female vocalist
355,Adam Lambert,pop,rock,american idol,sexy,love,male vocalists,glam,glam rock,dance,adam lambert
356,Flo Rida,hip-hop,hip hop,rap,dance,rnb,pop,dirty south,southern rap,right round,party
357,The Ting Tings,electronic,indie,british,pop,female vocalists,electropop,dance,alternative,indie rock,indie pop
358,Kid Cudi,rap,hip-hop,hip hop,amazing,2008,kid cudi,this shit fucking rawks,sky so big that it broke my soul,sexy,seen live
359,Ellie Goulding,electronic,female vocalists,indie,indie pop,british,pop,the vampire diaries,synthpop,folk,cover
360,The Sonics,60s,garage,garage rock,60s garage,60s psychedelic,american,halloween,pre-punk,proto-punk,psychedelic garage
361,The Fleshtones,80s,80s garage,american underground,garage,garage revival,garage rock,indie rock,jangle pop,new wave,psychedelic garage revival
362,The Barracudas,new wave,power pop,80s,80s garage,garage,garage revival,garage rock,garage surf,jangle pop,psychedelic garage
363,The Kinks,60s,classic rock,rock,british,british invasion,pop,hard rock,uk,rock and roll,70s
364,The Who,classic rock,rock,hard rock,british,60s,70s,progressive rock,uk,mod,epic
365,Small Faces,60s,mod,classic rock,psychedelic,1966,1967,1968,british invasion,freakbeat,psicodelia
366,Howlin' Wolf,blues,chicago blues,classic blues,delta blues,50s,60s,barrelhouse covers,best songs of the 50s,blue,electric blues
367,Sam Cooke,soul,oldies,rhythm and blues,rnb,50s,60s,beautiful,best songs of the 50s,best songs of the 60s,classic soul
368,Otis Redding,soul,oldies,60s,rhythm and blues,blues,cover,favorite,favorite songs,male vocalists,mellow
369,Little Richard,50s,rock and roll,oldies,jazz,rock n roll,rock,rhythm and blues,soul,blues,classic rock
370,Ray Charles,jazz,soul,blues,rhythm and blues,60s,cover,50s,american,classic rock,funk
371,The Detroit Cobras,garage,garage rock,rock,alternative,blues,female vocalists,garage revival,indie,indie rock,power pop
372,Aretha Franklin,soul,jazz,blues,rhythm and blues,female vocalist,female vocalists,60s,american,cover,1967
373,Marvin Gaye,soul,funk,rnb,motown,70s,american,rhythm and blues,1968,sexy,sex
374,James Brown,funk,soul,rnb,rhythm and blues,60s,1981,movie songs,rb,politeconomist realife soundtrack,oldies
375,Muddy Waters,blues,guitar,delta blues,blues rock,soul,jazz,classic blues,chicago blues,male vocalists,50s
376,Elmore James,blues,chicago blues,50s,barrelhouse covers,blues rock,classic blues,delta blues,electric blues,guitar,jazz
377,Sonny Boy Williamson,blues,harmonica blues,acoustic,barrelhouse covers,blue,chicago blues,classic rock,delta blues,electric blues,harmonica
378,John Lee Hooker,blues,delta blues,classic rock,jazz,classic blues,rock,guitar,the hague,singer-songwriter,rock-n-roll
379,The Isley Brothers,soul,funk,rhythm and blues,1963,50s,70,dance,motown,my favourite,rb
380,Chuck Berry,rock and roll,classic rock,rock,50s,rock n roll,blues,american,guitar,blues rock,oldies
381,Ennio Morricone,soundtrack,instrumental,classical,italian,piano,relax,psychosis,progressive,jean marc toma,spaghetti western
382,The Pretty Things,psychedelic,british invasion,1964,60s,60s psychedelic,album rock,classic rock,freakbeat,garage,hard rock
383,David Bowie,rock,classic rock,80s,glam rock,alternative,british,70s,90s,electronic,experimental
384,le bowl,1st take,awesome,beatsy,beautiful,electronic,grind,hot guitar,lesser known yet streamable artists,lovely,pretty
385,Prince,funk,80s,soul,rock,pop,soundtrack,90s,new wave,seen live,rnb
386,Iron & Wine,folk,indie,singer-songwriter,indie rock,acoustic,00s,not-emo,lo-fi,marisa mix,my own private sunshine
387,Aphex Twin,ambient,electronic,idm,electronica,experimental,techno,chillout,electro,drum and bass,downtempo
388,Kings of Convenience,indie,acoustic,norwegian,chillout,indie pop,mellow,singer-songwriter,piano,<3,relax
389,Beastie Boys,hip-hop,alternative,punk,rap,80s,rock,hip hop,90s,funk,new york
390,José González,acoustic,folk,singer-songwriter,indie,swedish,seen live,downtempo,one tree hill,indie pop,love it
391,Jethro Tull,progressive rock,classic rock,rock,folk,folk rock,70s,blues,blues rock,progressive,instrumental
392,Tortoise,experimental,post-rock,jazz,instrumental,progressive rock,usa,check,chillout,trip-hop,tortoise
393,Nick Drake,folk,acoustic,singer-songwriter,british folk,70s,mellow,top100,spring,songwriters,songwriter
394,Miles Davis,jazz,instrumental,avant-garde,bebop,psychedelic,fusion,blues,jazz fusion,cool jazz,leader
395,The Sea and Cake,post-rock,90s,instrumental,trip-hop,steel drummy goodness,singer-songwriter,shoegaze,rock,post-punk,pop
396,Talking Heads,new wave,80s,post-punk,alternative,rock,70s,college rock,pop,new wave artists,new wave songs
397,John Coltrane,jazz,bebop,instrumental,saxophone,free jazz,avant-garde,60s,top100,post bop,modal
398,Pearl Jam,grunge,alternative rock,rock,90s,alternative,hard rock,pearl jam,seattle,awesome,80s
399,Elliott Smith,indie,singer-songwriter,folk,acoustic,indie rock,80s,poetry reading,rock,seen live,songs ive obsessed over
400,Squarepusher,idm,electronic,experimental,drum and bass,ambient,downtempo,warp,trip-hop,electro,avant-garde
401,The Roots,hip-hop,rap,soul,hip hop,american,crazy,00s,rhymez,nice,nu jazz
402,Belle and Sebastian,indie,indie pop,alternative,indie rock,twee,folk,rock,british,pop,male vocalists
